标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,110,2,8,索骥,很久以前好像有一位“移涌”还死于“造匠”的围攻……,111,,
#,111,2,1,索骥,至于现在怎么样就很难说了。,112,,
#,112,0,5,传书,居然还有这种事……,113,,
#,113,2,8,索骥,上面如果没做好，底下的人们会反抗也是正常的……,114,,
#,114,2,1,索骥,在哪里应该都一样。,115,,
#,115,0,1,传书,……嗯。,116,,
#,116,2,7,索骥,那么，今天就先这样啦，鄙人也就知道这么多了。,117,,
#,117,2,1,索骥,……,118,,
#,118,2,1,索骥,传书，别怪鄙人多嘴啊，感觉你今天好像有心事的样子。,119,,
#,119,2,1,索骥,之前你那么耐心地听鄙人说了那么多，现在你要是遇到了什么事，也别跟鄙人见外。,120,,
#,120,2,1,索骥,唉，也是鄙人太忙，不能和你多聊一聊。,121,,
#,121,0,2,传书,谢谢您，索骥先生，不过我……也许还需要再多想一想。,122,,
#,122,2,7,索骥,好，好。你们年轻人愿意自己解决问题是好事，不过千万不要勉强自己。,123,,
#,123,2,7,索骥,只是别忘了，你一直都不只是一个人。,124,,
#,124,0,2,传书,嗯，我会记住的。,125,,
#,125,2,1,索骥,那鄙人就先回去了，再多看那两个小子几眼。,126,,
#,126,2,8,索骥,……下次再想看见就不知道多久以后了。,127,,
#,127,0,2,传书,您快去吧，再见。,128,,
#,128,2,1,索骥,嗯，再见。,129,,
#,129,2,1,索骥,,130,Out,
#,130,0,1,传书,……,131,,
#,131,0,2,传书,……,132,,
#,132,0,2,传书,我不是一个人……啊。,133,,
#,133,1,3,旦夕,这句话是不是在骂你不是人啊？,134,,
#,134,0,8,传书,你知不知道你很破坏气氛诶。,135,,
#,135,0,2,传书,本来还以为今天都不会有顾客来了，幸好没有提早关店。,136,,
#,136,1,1,旦夕,那现在都这么晚了，可以关店了吧。,137,,
#,137,0,6,传书,关店到底对你有什么好处啊？反正你都不用做事。,138,,
#,138,1,2,旦夕,睡觉能睡安稳点。,139,,
#,139,0,6,传书,我真是服了……虽然时间的确也差不多了吧。,140,,
#,140,0,1,传书,之后应该就不会有人——,141,,
#,141,13,1,？？？,咳咳，喂，你，那个叫传书的人类。,142,In,FastStep.wav|mb
#,142,0,1,传书,呃……您是……？,143,,
#,143,13,1,？？？,你管那么多干嘛，快给我来一杯魑魅，快点！,144,,
#,144,1,3,旦夕,居然这个点还有人来啊……,145,,
#,145,1,3,旦夕,嗯？这个声音……好耳熟啊。,146,,
#,146,1,1,旦夕,啊，该不会你就是那个博士吧？,147,,
#,147,13,1,博士,什么那个博士，我有名字！,148,,
#,148,0,7,传书,喔，您是伥仔博士。,149,,
#,149,13,1,伥仔,算了，这些都不重要，我的咖啡！我赶时间！,150,,
#,150,0,4,传书,好的……但就算您催我，做咖啡需要的时间也没法缩短。,151,,
$,151,11,,,,152,,
#,152,0,2,传书,好了，已经是最快的速度了——,153,,
#,153,0,3,传书,……,154,,
#,154,,,,传书突然停下了她的话语。,155,,Confront|vi-Reverie.wav|bi
#,155,,,,不远处的黑暗中透出了规整的蓝光。,156,,
#,156,,,,伥仔也许已经回头看过，他的表情有些别扭。,157,,
#,157,,,,传书知道，这一刻还是来了。她该退下舞台，坐下当观众了。,158,,
#,158,13,2,伥仔,快点，咖啡给我，我要走了……,159,,Confront|va
#,159,4,6,[ ],你给我等等。,160,In,
#,160,13,3,伥仔,……,161,Tremble,
#,161,13,3,伥仔,怎、怎么，你有意见，你想打架吗？,162,,
#,162,13,3,伥仔,别忘了，几年前是我救了你，你这个恩将仇报的破烂！,163,,
#,163,4,7,[ ],我还什么都没做呢。,164,,
#,164,13,3,伥仔,你、你以为我不知道？你想让我的研究全部白费，我早就知道了你的计划！,165,,
#,165,13,3,伥仔,你绝不可能得逞，听到了吗？绝不可能！,166,,
#,166,4,6,[ ],你一紧张就会开始不停地闹腾，好像这样就能吓跑谁。,167,,
#,167,4,6,[ ],我只不过是来跟你聊聊天，伺候了你三年，连说说话都不行了？,168,,
#,168,13,1,伥仔,我才没叫你伺候我，那只能叫协助，协助懂吗？,169,,
#,169,13,1,伥仔,而且我们有什么可说的，你不就是想让我放弃研究吗？,170,,
#,170,13,1,伥仔,哼，反正你要是没法说服我，就会直接把我家都掀翻对吧？,171,,
#,171,13,1,伥仔,那就干脆跳过这一步，直接来硬的吧！你不管怎么做都不会成功的！,172,,
#,172,4,6,[ ],<size=70%>啧……跟一个甲亢小孩交流真费劲。</size>,173,,
#,173,4,6,[ ],你为什么想死？,174,,
#,174,13,2,伥仔,……！,175,Shake,
#,175,13,2,伥仔,呃……你、你怎么知道……,176,,
#,176,13,2,伥仔,我……我应该没有在任何数据里提到这个……,177,,
#,177,4,6,[ ],两年前。,178,,
#,178,4,6,[ ],两年前，你因为实验条件不足，打算去一趟诺希斯实地调查。,179,,
#,179,4,6,[ ],你说你其实一直想去看看，从资料里获得的信息终究不如自己亲自了解。,180,,
#,180,4,6,[ ],在准备的那几天，你每天都在规划如何才能最有效率地获取诺希斯的研究数据。,181,,
#,181,4,6,[ ],直到有一天，你突然把行程取消了。理由是……太麻烦了，哈。,182,,
#,182,13,2,伥仔,……,183,,
#,183,4,6,[ ],一年半之前，卯时组委托你研制安保用探测装置，包含可量产型三类，特制型六类。,184,,
#,184,4,6,[ ],现在距离原定最迟交付日期还有近两年的时间，而你就已经各完成了两类和五类。,185,,
#,185,4,6,[ ],要是你一直都是这么勤勉，我倒也不会觉得奇怪。,186,,
#,186,4,6,[ ],你甚至偷偷修改了卯时组的记录，让他们以为截止日期已经快到了。,187,,
#,187,4,6,[ ],好像这么做会让你更有紧迫感，强制你在某个日期之前完成这一笔委托。,188,,
#,188,13,2,伥仔,……,189,,
#,189,4,6,[ ],差不多一年前，大迦莲妖怪科学研究中心终于回复了你数十年前发出的申请，并邀请你加入他们。,190,,
#,190,4,6,[ ],那一则通知你反复看了好几遍，只要去了那里，你就可以有稳定的经费支持，还有完备的研究条件。,191,,
#,191,4,6,[ ],但你最终拒绝了邀请，甚至连理由都不愿写了。,192,,
#,192,13,2,伥仔,……,193,,
#,193,4,6,[ ],几个月前，瓶中豆接到你的委托来做你的临时助手。,194,,
#,194,4,6,[ ],而你在合同中居然没有明确写出到期的时间，那一栏只写着四个字，“不会太久”。,195,,
#,195,4,6,[ ],艾尔尼斯本来可以靠这一点，在收取委托金后随时终止合同。,196,,
#,196,4,6,[ ],他却没有这么做。,197,,
#,197,13,2,伥仔,……,198,,
#,198,4,6,[ ],其实，就算有这么多明显的迹象，仅三年时间，还不够让我了解你到这种地步。,199,,
#,199,4,6,[ ],你给我装上的抑制模块里的储存区，以前还被其他机器人使用过，对吧？,200,,
#,200,4,6,[ ],里面的数据甚至都没有被清除。,201,,
#,201,4,6,[ ],你可能不会知道读取其他人的记忆是多么……难以言喻的一件事情。,202,,
#,202,4,6,[ ],所以这在人类的《仿生人权益保护法》中是不被允许的。,203,,
#,203,4,6,[ ],算了……这点不重要。,204,,
#,204,4,6,[ ],现在，就当我替过去一千三百九十二年间所有陪伴过你的“人工智慧生命体”们问一句。,205,,
#,205,4,8,[ ],<size=150%>你为什么想死？</size>,206,,
#,206,13,2,伥仔,……,207,,
#,207,13,2,伥仔,这、这个问题不是很简单吗……,208,,
#,208,13,2,伥仔,妖怪死之后会发生什么，会怎么样，从来都没有这样的资料……,209,,
#,209,13,2,伥仔,那我不就只能自己去探索了吗？我……我当然不想死啊……,210,,
#,210,13,2,伥仔,可是我想知道，我真的太想知道了，一想到居然有我无法获取的知识……,211,,
#,211,13,3,伥仔,我就决不能接受！,212,,
#,212,4,6,[ ],……,213,,
#,213,13,1,伥仔,……这么久了，我活到现在是为了什么，你不是再清楚不过了吗？,214,,
#,214,13,1,伥仔,我探索未知都已经一千多年了。,215,,
#,215,13,1,伥仔,那些一遍又一遍的研究，已被发现或还未被发现的知识……我要知道它们，也不过是迟早的事。,216,,
#,216,13,1,伥仔,我真的已经厌倦了，想弄清楚这些东西太容易了。,217,,
#,217,13,1,伥仔,而那些对于妖怪死亡的虚假阐释，无证据的猜想，只会让我更想了解真相！,218,,
#,218,13,1,伥仔,我过去也总拿人类死亡后的<color=#FFCC00>轮回</color>来应付自己，说不定妖怪死后也差不多……,219,,
#,219,13,3,伥仔,但我再也无法相信这些了……不管是真是假，我必须得亲自验证！,220,,
#,220,0,1,传书,人类死后……什么？,221,,
#,221,,,,台下的观众不自觉地站起来了。,222,,
#,222,,,,不是为了欢呼，不是为了看得更清楚。,223,,
#,223,,,,这位一直想要将自己撇开的观众，此刻却想登台。,224,,
#,224,0,1,传书,……人类死后会怎么样？,225,,
#,225,,,,舞台太高，没人注意到她微弱的叫喊声。,226,,
#,226,4,6,[ ],……,227,,
#,227,13,2,伥仔,你问我为什么想死……？我怎么会想死？,228,,
#,228,13,3,伥仔,但如果我活下去唯一的目的就是体验死亡，那我……又该怎么做？,229,,
#,229,4,6,[ ],这个世界……就没有其他可留下你的东西了？,230,,
#,230,13,1,伥仔,有啊，当然有了……我还没有亲自去过灵质域，还没亲眼见过赫尔墨斯……,231,,
#,231,13,1,伥仔,还没听维亚说完他小时候的故事，还没喝过这家店全部的咖啡……,232,,
#,232,13,1,伥仔,但这些事情，只要我活着，迟早都能做到，都能做完，不是吗？,233,,
#,233,13,1,伥仔,我应该先在活着的时候把想做的都做完，你想这么说对吧？,234,,
#,234,13,1,伥仔,我一千多年来正是这么做的啊，我想做的事情总是很多，多到我都已经……没有那么想了。,235,,
#,235,13,1,伥仔,……如果一直这样下去，我永远都不会死。有无限的时间又怎么样？这些时间只会让我感到痛苦！,236,,
#,236,13,1,伥仔,世界上所有的剧目都看了太久，久到它们对于我的吸引力，已经远不如一个结局。,237,,
#,237,4,6,[ ],……,238,,
#,238,4,6,[ ],你……这就是你的答案……？,239,,
#,239,4,6,[ ],你这一长串无可反驳的说辞，想博得谁的怜悯，想赢得谁的宽恕？,240,,
#,240,4,6,[ ],……三年前，你就不该把我捡回去。,241,,
#,241,4,6,[ ],你既然已经决定要独自踏进终点，为什么还要……,242,,
#,242,4,8,[ ],你以为你说了这些，我就能理解你，认同你，说什么安心去死之类的的话吗？,243,,
#,243,4,8,[ ],你这么做，到底对得起谁？！,244,,
#,244,4,6,[ ],……,245,,
#,245,4,6,[ ],……是啊，对得起你自己，这就够了。,246,,
#,246,4,6,[ ],我所谓的，想让你留下来的情感，也来自无数陌生存在的记忆的混合。,247,,
#,247,4,6,[ ],我甚至分不清楚，这里面到底有没有我自己的感受，真是可笑。,248,,
#,248,4,6,[ ],看来我们都不过是站在了这片自私的舞台。,249,,
#,249,4,6,[ ],……,250,,
#,250,4,6,[ ],……那么就这样吧，我想我们都够累了。,251,,
#,251,13,1,伥仔,……,252,,
#,252,13,2,伥仔,你……接下来打算怎么办？,253,,
#,253,4,6,[ ],……我本就无处可去。,254,,
#,254,13,2,伥仔,其实只要你不干涉我的决定，你也可以……,255,,
#,255,4,7,[ ],哈，哈哈……谢谢你。,256,,
#,256,4,6,[ ],但不用了，就让我……好好地、好好地，忘记你。,257,,
#,257,4,6,[ ],,258,Out,
#,258,13,2,伥仔,……,259,,
#,259,13,1,伥仔,,260,Out,
#,260,1,6,旦夕,喂，传书……,261,,
#,261,0,1,传书,……,262,,
#,262,,,,戏剧已经落幕，演员悉数退场。,263,,
#,263,,,,观众立于原地，这本是她的咖啡店。,264,,
#,264,,,,,,,
